Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates
Asher & Adams' Minnesota,Asher & Adams' Minnesota,,"Atlas plate 84. Longitude west from Greenwich and Washington, D.C.",22.5 x 16 inches,,English,,[Asher & Adams?];  United States,,Minnesota Maps,1871,,,https://umedia.lib.umn.edu/item/p16022coll247:267,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/267/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/267,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/267/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|7|8|8|9|3|2|0|0|0|1|7|0|1,p16022coll247:267,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Asher and Adams' Minnesota,Asher and Adams' Minnesota,,"Atlas plate 84. Longitude west from Greenwich and Washington, D.C.",22.25 x 16 inches,,English,,[Asher & Adams?];  United States,,Minnesota Maps,1870,,,https://umedia.lib.umn.edu/item/p16022coll247:154,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/154/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/154,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/154/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|7|8|8|2|1|2|0|0|0|1|7|0|1,p16022coll247:154,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Burritt's sectional and township map of Minnesota,Burritt's sectional and township map of Minnesota,"Shows U.S. land offices and boundaries of land districts.Relief shown by hachures.Hand colored.Includes ""Table of distances by railroad and steamboat lines in Minnesota"" and 2 vignettes.",,88 x 80 centimeters,"1:760,000",English,"Burritt, Elijah Hinsdale, 1794-1838.|Power, James Buel, 1833-1912.|St. Paul Litho. & Engr. Co.",,,Minnesota Maps,1870,,,https://umedia.lib.umn.edu/item/p16022coll247:259,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/259/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/259,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/259/manifest.json,U|M|N|_|A|L|M|A|:|9|9|6|2|1|4|7|4|8|0|0|0|1|7|0|1,p16022coll247:259,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Canoe map of northeastern Minnesota.,Canoe map of northeastern Minnesota.,"Cartographic Details: Scale 1:253,440 ;  1 mile -- 1/4 in. (W 93°'--W 89°29'/N 47°3'--N 48°39'). Shows canoe routes in Superior National Forest and Burntside State Forest. ""W.T. Cox, State Forester."" ""August, 1913."" ""Quadrangle No 3.""",,44 x 111 centimeters,"1:253,440",English,"Minnesota Forest Service|Cox, William Thomas, 1878-1961",Forest Service;  Minnesota,,Canoes and Canoeing Minnesota Superior National Forest Maps|Forest Reserves Minnesota Maps|Superior National Forest (Minn.) Maps|Maps,1913,,,https://umedia.lib.umn.edu/item/p16022coll247:211,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/211/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/211,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/211/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|8|6|4|4|5|4|0|0|0|1|7|0|1,p16022coll247:211,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Canoe trips : America's greatest adventure,Canoe trips : America's greatest adventure,"Cartographic Details: Scale approximately 1:255,000.",,54 x 42 centimeters,"1:255,000",English,W.A. Fisher Company|Canoe Country Outfitters,"W.A. Fisher Co. ;  Virginia, Minnesota 1944",,Canoes and Canoeing Minnesota Superior National Forest Maps|Canoes and Canoeing Ontario Quetico Provincial Park Maps|Superior National Forest (Minn.) Maps|Quetico Provincial Park (Ont.) Maps|Maps,1944,,,https://umedia.lib.umn.edu/item/p16022coll247:227,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/227/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/227,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/227/manifest.json,U|M|N|_|A|L|M|A|:|9|9|2|7|4|8|3|1|9|0|0|0|1|7|0|1,p16022coll247:227,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Chapman's new sectional map of Minnesota,Chapman's new sectional map of Minnesota,"Cartographic Details: Scale [1:633,600] Shows county boundaries as of 1855. Hand colored.",,73 x 57 centimeters,"1:633,600",English,"Chapman, Silas|Ferd. Mayer & Co.","Silas Chapman;  Milwaukee, Wisconsin 1856",,Minnesota Surveys Maps|Maps,1856,,,https://umedia.lib.umn.edu/item/p16022coll247:167,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/167/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/167,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/167/manifest.json,U|M|N|_|A|L|M|A|:|9|9|5|6|9|7|1|6|4|0|0|0|1|7|0|1,p16022coll247:167,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Chapman's new sectional map of Minnesota,Chapman's new sectional map of Minnesota,"Cartographic Details: Scale approximately 1:630,000. Shows county boundaries as of 1856-1857. Entered by Silas Chapman. Hand colored.",,73 x 57 centimeters,"1:633,600",English,"Chapman, Silas|Ferd. Mayer & Co.|A.S. Barnes & Co.|J.B. Lippincott & Co.","Dyer & Pasmore;  Milwaukee, Wisconsin 1857",,Minnesota Surveys Maps|Maps,1857,,,https://umedia.lib.umn.edu/item/p16022coll247:264,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/264/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/264,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/264/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|4|5|2|0|7|5|0|0|0|1|7|0|1,p16022coll247:264,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
Chapman's sectional map of the surveyed part of Minnesota,Chapman's sectional map of the surveyed part of Minnesota,"Cartographic Details: Scale approximately 1:630,000. Cover title: Chapman's sectional map of Minnesota. Shows county boundaries as of 1867. Publisher's advertising on back cover. Hand colored.",,82 x 72 centimeters,"1:630,000",English,"Chapman, Silas|Lipman, Louis","Silas Chapman;  Milwaukee, Wisconsin 1865",,Minnesota Maps|Maps,1868,,,https://umedia.lib.umn.edu/item/p16022coll247:216,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/216/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/216,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/216/manifest.json,U|M|N|_|A|L|M|A|:|9|9|6|2|9|3|3|7|2|0|0|0|1|7|0|1,p16022coll247:216,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
"Chart of Lake Minnetonka, Minnesota","Chart of Lake Minnetonka, Minnesota","Cartographic Details: Scale 1:20,000. ""Reproduced in colors in 1906 by ..."" Relief shown by contours and soundings. ""Soundings, in feet, are reduced to the plane of the crest of the outlet dam, 929.4 ft."" ""Topography taken from a 1:48,000 scale map of the U.S. Geological Survey, made in 1905.""",,56 x 90 centimeters,"1:20,000",English,"Dunaway, Horace|Derby, George M.|U.S. Lake Survey|United States. Army. Corps of Engineers","U.S. Lake Survey ;  Detroit, Michigan",,"Nautical Charts Minnesota Minnetonka, Lake|Minnetonka, Lake (Minn.) Maps|Maps",1906,,,https://umedia.lib.umn.edu/item/p16022coll247:262,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/262/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/262,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/262/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|8|1|9|7|1|5|0|0|0|1|7|0|1,p16022coll247:262,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
"Chippewa National Forest, Minnesota : 1941","Chippewa National Forest, Minnesota : 1941","Cartographic Details: Scale [1:130,000] ;  Polyconic projection (W 94°0'--W 93°18'/N 48°00'--N 46°0'). ""Fourth and fifth principal meridians.""",,99 x 95 centimeters,"1:130,000",English,"United States. Forest Service|Simerl, R.A.","The Office;  Milwaukee, Wisconsin",,Chippewa National Forest (Minn.) Maps|Maps,1941,,,https://umedia.lib.umn.edu/item/p16022coll247:157,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll247/id/157/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll247/id/157,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll247/157/manifest.json,U|M|N|_|A|L|M|A|:|9|9|4|3|6|3|5|3|0|0|0|0|1|7|0|1,p16022coll247:157,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2022-09-27,,Maps,JPEG,2018-05-02T00:00:00Z,General Minnesota Maps,p16022coll247,,Minnesota,United States,North America,,
