Title,Alternative Title,Description,notes,dimensions,scale,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Information,Download,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Date Added,Collection Name,Set,City,State,Country,Continent,Region,coordinates,projection
"Carbon County, Montana","Carbon County, Montana",Universal Transverse Mercator projection; 1927 North American datum. May 1978. Includes index and inset of southeastern portion.,,92 x 112 centimeters,,English,United States. Soil Conservation Service,"Dept. of Agriculture, Soil Conservation Service (Washington)",,"Land Use, Rural|Agricultural Resources",1978,,,https://umedia.lib.umn.edu/item/p16022coll624:645,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/645/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/645,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/645/manifest.json,UMN_ALMA:9924392720001701,p16022coll624:645,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Montana,United States,North America,Carbon County,,
"Important farmlands, Barnwell County, South Carolina","Important farmlands, Barnwell County, South Carolina","Shows land use. Variant title: Important farmlands map, Barnwell County, South Carolina. Includes vicinity map. On verso: text. """"November 1979 4-R-37335.""""",,57 x 72 centimeters,,English,United States. Soil Conservation Service,"The Service (Washington, D.C.?)",,Agricultural Resources|Land Use,1979?,,,https://umedia.lib.umn.edu/item/p16022coll624:655,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/655/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/655,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/655/manifest.json,UMN_ALMA:9950858730001701,p16022coll624:655,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,South Carolina,United States,North America,Barnwell County,,W0814000 W0812500 N0332500 N0331000; Not given
"Important farmlands, Berkeley County, South Carolina","Important farmlands, Berkeley County, South Carolina","Shows land use. """"Base map prepared by the Geological Survey in cooperation with the Soil Conservation Service."""" Includes vicinity map. Text on verso.",,78 x 88 centimeters,,English,United States. Soil Conservation Service,"The Service (Columbia, S.C)",,Agricultural Resources|Land Use,1979?,,,https://umedia.lib.umn.edu/item/p16022coll624:630,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/630/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/630,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/630/manifest.json,UMN_ALMA:9922700660001701,p16022coll624:630,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,South Carolina,United States,North America,Berkeley County,,W0802230 W0792630 N0333100 N0324900; Not given
"Important farmlands, Bitterroot Valley area of Ravalli County, Montana","Important farmlands, Bitterroot Valley area of Ravalli County, Montana","Relief shown by hachures. Shows land use. Sheet 2 shows southern portion. """"August 1980."""" Accompanied by: Fact sheet. Includes location map.",,150 x 92 centimeters; 86 x 97 centimeters,,English,United States. Soil Conservation Service,"The Service (Bozeman, Mont.?)",,Agricultural Resources|Agricultural Resources|Land Capability for Agriculture|Land Capability for Agriculture,1980,,,https://umedia.lib.umn.edu/item/p16022coll624:704,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/704/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/704,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/704/manifest.json,UMN_ALMA:9922695160001701,p16022coll624:704,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Montana,United States,North America,Bitterroot River Valley|Ravalli County,,
"Important farmlands, Broadwater County, Montana","Important farmlands, Broadwater County, Montana",Shows land use. Accompanied by: Fact sheet.,,108 x 61 centimeters,,English,United States. Soil Conservation Service,"The Service (Bozeman, Mont.?)",,Agricultural Resources|Land Capability for Agriculture,1982?,,,https://umedia.lib.umn.edu/item/p16022coll624:666,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/666/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/666,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/666/manifest.json,UMN_ALMA:9959137940001701,p16022coll624:666,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Montana,United States,North America,Broadwater County,,
"Important farmlands, Calhoun County, South Carolina","Important farmlands, Calhoun County, South Carolina","""""December 1979 Base 4-R-37330."""" Alternate title: Important farmlands map, Calhoun County, South Carolina. """"Base compiled from U.S.G.S. quadrangle sheets and county highway map."""" Includes notes and location map. Text on verso. https://hdl.loc.gov/loc.gmd/g3913c.ct009921",,57 x 72 centimeters,,English,United States. Soil Conservation Service,"The Service (Columbia, S.C)",,Agricultural Resources|Land Capability for Agriculture|Soil Productivity,1979,,,https://umedia.lib.umn.edu/item/p16022coll624:707,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/707/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/707,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/707/manifest.json,UMN_ALMA:9929666100001701,p16022coll624:707,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,,United States,North America,South Carolina,,W0810000 W0803000 N0335000 N0333000; (W 81°00ʹ--W 80°30ʹ/N 33°50ʹ--N 33°30ʹ).
"Important farmlands, Carroll County, New Hampshire","Important farmlands, Carroll County, New Hampshire","Shows land use. Sheet 2 of 2; shows southern portion. """"December 1980."""" Includes vicinity map.",,102 x 122 centimeters,,English,United States. Soil Conservation Service,"The Service (Washington, D.C.?)",,Agricultural Resources|Land Use,1980,,,https://umedia.lib.umn.edu/item/p16022coll624:675,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/675/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/675,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/675/manifest.json,UMN_ALMA:9936169700001701,p16022coll624:675,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,New Hampshire,United States,North America,Carroll County,,
"Important farmlands, Centre County, Pennsylvania","Important farmlands, Centre County, Pennsylvania","Shows land use. """"February 1981."""" Includes vicinity map.",,124 x 183 centimeters; 134 x 102 centimeters,,English,United States. Soil Conservation Service,"The Service (Harrisburg, Pa)",,Agricultural Resources|Land Capability for Agriculture,1981,,,https://umedia.lib.umn.edu/item/p16022coll624:692,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/692/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/692,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/692/manifest.json,UMN_ALMA:9945868320001701,p16022coll624:692,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Pennsylvania,United States,North America,Centre County,,
"Important farmlands, Chaves County, New Mexico","Important farmlands, Chaves County, New Mexico","Shows land use. """"July 1981."""" Includes vicinity map. On verso: text.",,63 x 48 centimeters; 48 x 63 centimeters,,English,United States. Soil Conservation Service,"The Service (Albuquerque, N.M.?)",,Agricultural Resources|Land Capability for Agriculture,1981,,,https://umedia.lib.umn.edu/item/p16022coll624:648,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/648/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/648,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/648/manifest.json,UMN_ALMA:9933865200001701,p16022coll624:648,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,New Mexico,United States,North America,Chaves County,,
"Important farmlands, Fergus County, Montana","Important farmlands, Fergus County, Montana","Shows land use.; """"Interpretations derived from soil map constructed 1983 by Cartographic Division, Soil Conservation Service, USDA, of Fergus County, Montana.""""; Includes vicinity map, text, and sectionalized township.; """"July 1983 4-R-38740-A-B.""""; """"July 1983 Base 4-R-38325-A-B.""""",,161 x 127 centimeters; 127 x 87 centimeters; 126 x 77 centimeters,,English,United States. Soil Conservation Service,"The Service (Washington, D.C.?)",,Agricultural Resources|Land Capability for Agriculture,1983,,,https://umedia.lib.umn.edu/item/p16022coll624:712,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/712/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/712,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/712/manifest.json,UMN_ALMA:9961681670001701,p16022coll624:712,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,Montana,United States,North America,Fergus County,"Scale approximately 1:100,000",W1101000 W1082000 N0474000 N0465000; (W 110°10ʹ--W 108°20ʹ/N 47°40ʹ--N 46°50ʹ).
"Important farmlands map, Anderson County, South Carolina","Important farmlands map, Anderson County, South Carolina","Shows land use. """"Base map prepared by the Geological Survey in cooperation with the Soil Conservation Service."""" Includes vicinity map. On verso: text.",,69 x 64 centimeters,,English,United States. Soil Conservation Service,"The Service (Columbia, S.C)",,Agricultural Resources|Land Use,1980?,,,https://umedia.lib.umn.edu/item/p16022coll624:639,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/639/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/639,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/639/manifest.json,UMN_ALMA:9950875510001701,p16022coll624:639,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,South Carolina,United States,North America,Anderson County,,W0830000 W0821800 N0344930 N0341200; Not given
"Important farmlands map, Bamberg County, South Carolina","Important farmlands map, Bamberg County, South Carolina","Shows land use. Includes vicinity map. On verso: text. """"January 1980 Base 4-R-37338.""""",,72 x 57 centimeters,,English,United States. Soil Conservation Service,"The Service (Washington, D.C.?)",,Agricultural Resources|Land Use,1980,,,https://umedia.lib.umn.edu/item/p16022coll624:662,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/662/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/662,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/662/manifest.json,UMN_ALMA:9912182380001701,p16022coll624:662,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,South Carolina,United States,North America,Bamberg County,,W0811000 W0805000 N0332500 N0330500; Not given
"Important farmlands map, Beaufort County, South Carolina","Important farmlands map, Beaufort County, South Carolina",Shows land use. Includes vicinity map. On verso: text.,,72 x 58 centimeters,,English,United States. Soil Conservation Service,"The Service (Washington, D.C.?)",,Agricultural Resources|Land Use,1979?,,,https://umedia.lib.umn.edu/item/p16022coll624:633,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/633/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/633,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/633/manifest.json,UMN_ALMA:9947534800001701,p16022coll624:633,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,South Carolina,United States,North America,Beaufort County,,W0810130 W0802500 N0324300 N0320400; Not given
"Important farmlands map, Blaine County, Montana","Important farmlands map, Blaine County, Montana",Accompanied by fact sheet.,,,,English,,"Dept. of Agriculture, Soil Conservation Service (Blaine County, Texas)",,,1981,,,https://umedia.lib.umn.edu/item/p16022coll624:659,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll624/id/659/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll624/id/659,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll624/659/manifest.json,UMN_ALMA:9964630850001701,p16022coll624:659,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,JSON API,2024-02-28,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,2023-12-08T00:00:00Z,United States Department of Agriculture Important Farmlands Maps,p16022coll624,,,United States,North America,,,
