Keyword,Alternative Title,Information,Description,HTML,FGDC,Documentation,ImageServer,MapServer,FeatureServer,Download,ID,Title,Temporal Coverage,Theme,Resource Class,Code,Access Rights,Accrual Method,Date Accessioned,Language,Is Part Of,Member Of,Provider,Identifier,Format,Bounding Box
Climate,Illinois Climate Network: Soil Data,https://clearinghouse.isgs.illinois.edu/data/climate/illinois-climate-network-soil-data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors soil conditions at 19 stations in Illinois.  Hourly and daily data are available for soil temperatures (under sod and bare) and moisture levels.,,,,,,,,02a-01_climate-illinois-climate-network-soil-data,Climate Network: Soil Data [Illinois],,Climate,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/climate/illinois-climate-network-soil-data,File,"-91.51,36.97,-87.02,42.51"
Climate,Illinois Climate Network: Weather Data,https://clearinghouse.isgs.illinois.edu/data/climate/illinois-climate-network-weather-data,The Illinois State Water Survey’s Illinois Climate Network (ICN) monitors weather conditions at 19 stations in Illinois.  Hourly and daily data are available from 1989 to the present.,,,,,,,,02a-01_climate-illinois-climate-network-weather-data,Climate Network: Weather Data [Illinois],,Climate,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/climate/illinois-climate-network-weather-data,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Airborne transient electromagnetic survey data, southwest Lake Michigan coast, April 2017",https://clearinghouse.isgs.illinois.edu/data/coastal/HTEM/lake-michigan-coast-2017,"Airborne transient electromagnetic (TEM) method was used along the southwest shore of Lake Michigan to map thickness and distribution of the unconsolidated sand covering the beach and the near shore area (up to 1 km into the lake).  From Kenosha, WI to the Illinois-Indiana border, a total of 1049 line-km of TEM data were acquired.  Sand distribution and thickness was estimated from conversion of the resistivity values from TEM data into lithology.  Through resistivity to lithology conversion, we were also able to estimate thickness and distribution of clay (glacial sediments) and dolomite (bedrock) under the lake bed.  A brief description of the comparison of geophysical results to lithology is provided in:  Mwakanyamale, K.E., Brown, S.E., & Theuerkauf, E.J. (2020).  Delineating spatial distribution and thickness of unconsolidated sand along the southwest Lake Michigan shoreline using TEM and ERT geophysical methods, Journal of Great Lakes Research, 46(6), 1544-1330, https://doi.org/10.1016/j.jglr.2020.08.002.  This project was funded by the Illinois Department of Natural Resources, Coastal Management Program as a part of the National Oceanic and Atmospheric Administration, Office of Coastal Management, Projects of Special Merit Award Competition, Award No. NA16NOS4190151.",,,,,,,https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Coastal/zips/HTEM_LMCoast.zip,02a-01_coastal-HTEM-lake-michigan-coast-2017,"Airborne transient electromagnetic survey data, southwest Lake Michigan coast, April [Illinois] {2017}",2017,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/HTEM/lake-michigan-coast-2017,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Coastal Habitat Maps along Illinois Beach State Park, derived from aerial and drone imagery, 1939-2020",https://clearinghouse.isgs.illinois.edu/data/coastal/habitat,"These habitat maps were created to identify and monitor coastal change along Illinois' Lake Michigan shoreline at Illinois Beach State Park. Habitat maps are provided for four study sites which the ISGS has monitored monthly since 2018 using drones.
 
The initial habitat boundaries are from the Illinois Natural Areas Inventory (INAI), provided in August 2018 by the Illinois Department of Natural Resources, Illinois Nature Preserves Commission, Illinois Endangered Species Protection Board, and the Natural Heritage Database. The INAI habitat surveys were conducted in 1976 for Sites 1-3; surveys for Site 4 were conducted between 2008-2011. The eastern bounds of the habitat maps, defined as the contact between vegetated habitat and Lake Michigan beach sediment, were digitized from historical aerial images (1939-2017) and modern drone images (2018-2020). The modern images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The historical aerial images were sourced from the Lake County, Illinois, Planning, Building, and Development Department.
 
The data is georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commissions permit and Illinois Department of Natural Resources permission.",,,,,,,https://chf.isgs.illinois.edu/coastal/Habitat_data/Habitat_data.zip,02a-01_coastal-habitat,"Coastal Habitat Maps along  Beach State Park, derived from aerial and drone imagery, [Illinois] {1939}",1939,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/habitat,File,"-91.51,36.97,-87.02,42.51"
Coastal,Digitized Shorelines at Illinois Beach State Park,https://clearinghouse.isgs.illinois.edu/data/coastal/shorelines/UAS,"Shorelines, defined as the wet/dry line, were digitized at 1:150 scale from modern aerial orthomosaics at Illinois Beach State Park beginning in 2018 as part of an effort to monitor coastal change. The aerial images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract with the Illinois Department of Natural Resources Coastal Management Program.
 
 
Data are georeferenced to NAD83(1986) UTM Zone 16 North meters. All activities were conducted in adherence to Federal Aviation Administration regulations, permitted by the Illinois Natures Preserve Commissions and the Illinois Department of Natural Resources.",,,,,,,https://chf.isgs.illinois.edu/coastal/Shorelines_data/IBSP_1.zip,02a-01_coastal-shorelines-UAS,Digitized Shorelines at  Beach State Park [Illinois],,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/shorelines/UAS,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud at Illinois Beach State Park",https://clearinghouse.isgs.illinois.edu/data/coastal/UAS/IBSP,"These unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commission permit and Illinois Department of Natural Resources permission.",,,,,,,https://chf.isgs.illinois.edu/coastal/uas_data/2018_IBSP1.zip,02a-01_coastal-UAS-IBSP,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud at  Beach State Park [Illinois]",,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/UAS/IBSP,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud at Waukegan, Illinois",https://clearinghouse.isgs.illinois.edu/data/coastal/orthomosaic-digital-elevation-model-dem-and-point-cloud-waukegan-illinois,"These unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at North Beach, Waukegan, Illinois under contract for the Illinois Department of Natural Resources Coastal Management Program. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commission permit and Illinois Department of Natural Resources permission.",,,,,,,https://chf.isgs.illinois.edu/coastal/Waukegan_UAS_Data/2020_NB.zip,02a-01_coastal-orthomosaic-digital-elevation-model-dem-and-point-cloud-waukegan-illinois,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud at Waukegan, [Illinois]",,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/orthomosaic-digital-elevation-model-dem-and-point-cloud-waukegan-illinois,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud, Chicago Park District",https://clearinghouse.isgs.illinois.edu/data/coastal/orthomosaic-digital-elevation-model-dem-and-point-cloud-chicago-park-district,"These unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at select Chicago Beaches managed by the Chicago Park District. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and with the permission of the Chicago Park District.",,,,,,,https://chf.isgs.illinois.edu/coastal/Chicago_uas_data/2022_FB.zip,02a-01_coastal-orthomosaic-digital-elevation-model-dem-and-point-cloud-chicago-park-district,"Orthomosaic, Digital Elevation Model (DEM), and Point Cloud, Chicago Park District [Illinois]",,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/orthomosaic-digital-elevation-model-dem-and-point-cloud-chicago-park-district,File,"-91.51,36.97,-87.02,42.51"
Coastal,Singlebeam Bathymetry at Illinois Beach State Park,https://clearinghouse.isgs.illinois.edu/data/coastal/bathy,"Singlebeam echosounder data were collected in the nearshore of Illinois Beach State Park in Zion, IL. These data were collected under contract for the Illinois Department of Natural Resources Coastal Management Program. The areas targeted for bathymetric measurements are paired with areas targeted for UAS (unoccupied aerial system) onshore photographic measurements. Data is collected at different spatial scales: 500-m wide transects cover the entire park, while smaller subsites (paired with UAS sites) were surveyed with 100, 50, and 25-m wide transects. The bathymetric data were collected as part of a multi-year monitoring program to detect and measure lake-bottom change as it related to erosion of the lake bottom and longshore and offshore sand movement or transport.",,,,,,,https://chf.isgs.illinois.edu/coastal/Singlebeam_data/IBSP_1.zip,02a-01_coastal-bathy,Singlebeam Bathymetry at  Beach State Park [Illinois],,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/bathy,File,"-91.51,36.97,-87.02,42.51"
Coastal,"Singlebeam Bathymetry, Chicago Park District",https://clearinghouse.isgs.illinois.edu/data/coastal/singlebeam-bathymetry-chicago-park-district,"Singlebeam echosounder data were collected in the nearshore of the Chicago Park District in Chicago, IL. The parks that are monitored include Foster Beach, Montrose Beach, 63rd Street Beach, and Rainbow Beach. These data were collected under contract for the Illinois Department of Natural Resources Coastal Management Program. The areas targeted for bathymetric measurements are paired with areas targeted for UAS (unoccupied aerial system) onshore photographic measurements. Data is collected at 25-m wide transects. The bathymetric data were collected as part of a multi-year monitoring program to detect and measure lake-bottom change as it related to erosion of the lake bottom and longshore and offshore sand movement or transport.",,,,,,,https://chf.isgs.illinois.edu/coastal/Chicago_Singlebeam_data/Chicago_Singlebeam_data.zip,02a-01_coastal-singlebeam-bathymetry-chicago-park-district,"Singlebeam Bathymetry, Chicago Park District [Illinois]",,Environment|Inland Waters,Datasets,02a-01,Public,HTML,2024-05-28,eng,02a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Illinois Geospatial Data Clearinghouse,https://clearinghouse.isgs.illinois.edu/data/coastal/singlebeam-bathymetry-chicago-park-district,File,"-91.51,36.97,-87.02,42.51"
